,sampateny,lettre
amboze,"mahamboze, mañamboze, pañamboze",A
amy,mankamy,A
amy,"anamiana, fanamiana",A
amitramy,miamitramy,A
amoke,"mahaamoke, miamoke, mihaamoke",A
ampaingo,miampaingo,A
ampala,"mañampala, pañampala",A
ampala,"mahaampala, mihampala",A
ampaly,"ampalesina, ampalimpaly, ampalina, anampalesana, anampaliana, fanampalesana, fanampaly, fanampaliana, mahampaly, manampaly, mpanampaly, voampaly",A
ampanampana,"fiampanampanana, miampanampana",A
ampanga,"anampangana, mampanampanga, mampiampanga, mampifanampanga, mifampiampanga, mifanampanga",A
ampanga,"ampangaina, fiampanga, fiampangana, iampangana, mahampanga, miampanga, mpiampanga, voampanga",A
ampangalainga,"miampangalainga, voampangalainga",A
ampango,miampango,A
ampangoro,,A
ampatra,"famparana, miampatrampatra",A
ampatra,"aampatra, amparina, ampatrampatra, anamparana, fanamparana, fanampatra, fiamparana, fiampatra, iamparana, lampatra, manampatra, miampatra, mpanampatra, mpiampatra, voampatra",A
ampatse,"aampatse, faampatse, fiampatse, kiampatse, mahaampatse, mampiampatse, mañampatse, miampatse, mihamiampatse, pañampatse, piampatse, voaampatse",A
ampe,"fañampe, mahampe, mampañampe, mampifañampe, mañampe, miampe, mifañampe, mihaampe, pañampe, pifañampe",A
ampela,mahaampela,A
ampy,"fanampiny, fifanampiana, iampiana, mifanampy",A
ampy,"ampiana, anampy, anampiana, fahampiana, fanampy, fanampiana, ifanampiana, mahampy, manampy, miampy, mpanampy, mpanampy",A
ampify,"ampifina, anampifiana, fanampify, fanampifiana, fiampify, fiampifiana, iampifiana, manampify, miampify, mpanampify, mpiampify, tafampify, voampify",A
ampirina,iampirimana,A
ampirina,"ampirimana, ampirimina, ampirinana, ampirinina, anampirimana, fampirimana, fampirina, fanampirimana, fanampirina, fiampirina, mahampirina, mampirina, manampirina, miampirina, mimpirina, mpampirina, mpanampirina, mpiampirina, voampirina",A
ampitra,"iampirana, miampitra, tafampitra",A
ampo,mahaampo,A
ampo,"anampoizana, mahampo, mihaampo",A
ampoasa,"ampoasaina, ampoasana, anampoasana, fampoasa, fampoasana, fanampoasa, fanampoasana, mampoasa, manampoasa, mpampoasa, mpanampoasa, voampoasa",A
ampofo,"ampofoina, fiampofoana, iampofoana, mahampofo, mpiampofo, voampofo",A
ampoka,"ampohana, anampohana, fiampoka, mahampoka, miampoka, voampoka",A
ampombo,ampomboina,A
amponga,"anampongana, mampanamponga, mampifanamponga, mifanamponga",A
amponga,"ampongaina, manamponga",A
ana,"miana, mianana",A
ana,pana,A
anadahy,"fianadahiana, ianadahiana, mpianadahy",A
anaka,"anakanaka, ianahana",A
anaka,"fananahana, fianahana, mianaka, mpianaka",A
anakanaka,kianakanaka,A
anakandro,"anakandroana, anakandroina",A
anakavy,"fianakaviana, mianakavy, mpianakavy",A
anake,"ampianake, mahanake, mianake, pianake",A
anaky,"mananganaky, mianaky",A
anana,hanana,A
anana,"ananana, ananana, fanana, fananana, manana, mpanana",A
anandro,"fifanandro, fifanandroana, ifanandroana, mifanandro",A
anaty,anatiny,A
anatra,"ianarana, ianarana",A
anatra,"ampianarana, ampianarina, ananarana, anarina, fampianarana, fampianatra, fananarana, fananatra, fianarana, fianatra, mampananatra, mampianatra, mampifananatra, mananatra, mianatra, mpampianatra, mpananatra, mpianatra, voanatra",A
anatse,"ampañanatse, mampianatse, mianatse, mifampianatse, pampianatse, pañanatse, pianatse, pifampianatse, pifañanatse, voaanatse",A
anatsimo,anatsinomana,A
anatsimo,"anatsinomina, fianatsimo, fianatsinomana, ianatsinomana, mianatsimo, mpianatsimo",A
anavaratra,"anavaratina, fianavaratra, ianavaratana, mianavaratra, mpianavaratra",A
andala,andalasana,A
andala,"anandalasana, andalasina, fanandalasana, manandala",A
andalana,"anandalanana, andalandalana, andalanina, fanandalana, fanandalanana, fiandalana, fiandalanana, iandalanana, manandalana, miandalana",A
andalandalana,miandalandalana,A
andany,"iandaniana, mampiandany, miandany",A
andevo,iandevozana,A
andevo,"anandevozana, andevoina, andevozina, fahandevozana, fanandevo, fanandevozana, fiandevo, mahandevo, manandevo, miandevo, mifanandevo, mpanandevo, mpiandevo",A
ando,"ampandoana, ampandoina, andoando, fampando, fampandoana, fiando, hamandoa, mahamando, mahampando, mampando, mando, mihamando, mpampando",A
andoha,mpiandoha,A
andra,fandramanana,A
andra,"andraina, fiandra, fiandrana, iandrana, mahandra, miandra, mpiandra, tafaandra",A
andraikitra,"fiandraikitra, iandraiketana, miandraikitra, mpiandraikitra",A
andraka,miandraka,A
andraka,mandraka,A
andrana,"andranandranina, fandrama",A
andrana,"anandramana, andramana, fanandramana, fanandrana, fiandranandrana, fiandranandranana, mahandranandrana, manandrana, mpanandrana, voandrana",A
andranandrana,mitanandranandrana,A
andrandra,"anandrandra, anandrandrana, andrandraina, fanandrandrana, fiandrandra, fiandrandrana, iandrandrana, mahandrandra, manandrandra, miandrandra, mpanandrandra, mpiandrandra, voandrandra",A
andravana,iandravana,A
andravana,"fiandravana, fiandravanana, iandravanana, miandravana, mpiandravana",A
andrefana,"andrefandrefana, ankandrefana",A
andrendry,handrendriana,A
andry,"andriandry, fampandriana, fiandry, fiandry, fiandry, fifampiandrasana, tafandriana, voandry",A
andry,fandry,A
andry,"ampandriana, andriana, fandriana, mampandry, mandry, mpandry, tafandry",A
andry,"andrasana, andrazana, fiandrasana, iandrasana, mahandry, mampiandry, miandry, mifampiandry, mpiandry, voaandry",A
andriana,"andriambavirano, anrianina, handrianana",A
andriana,"anandrianana, andriandriana, andrianina, fahandrianana, fanandriana, fanandrianana, fiandriana, fiandrianana, mahandriana, mampanandriana, mampifanandriana, manandriana, miandriana, mifanandriana, mpanandriana",A
andriandriana,"fiandriandriana, fiandriandrianana, iandriandrianana, manandriandriana, miandriandriana, mpiandriandriana",A
andrina,andrinina,A
andro,"ampandroana, ampandroina, mampandro, tolakandro",A
andro,"anandro, anandro, anandroana, fanandro, fanandroana, manandro, mpanandro",A
andro,"androana, fandro, fandroana, mahampandro, mandro, tafandro, voampandro",A
androka,anandrohana,A
androka,"androhina, manandroka",A
androngo,anandrongoana,A
androngo,manandrongo,A
androvo,manandrovo,A
androvo,androvondrovo,A
androvondrovo,"fiandrovondrovoana, iandrovondrovoana, miandrovondrovo",A
anga,"mananga, mananga",A
angady,,A
angafo,manangafo,A
angaha,angahaina,A
angaly,"angalina, miangaly, mpiangaly",A
angamba,angambaina,A
angana,"ananganana, hananganana, mifanangana",A
angana,"fiangana, manangana, miangana",A
angana,"anganina, manangana",A
anganga,"mampananganga, mampifananganga, mifananganga",A
anganga,"anangangana, angangaina, fananganga, fanangangana, fanganga, fianganga, fiangangana, iangangana, mananganga, mianganga, mpananganga, mpianganga, tafanganga, voanganga",A
angano,"anganoina, anganongano, fiangano, fianganoana, ianganoana, manangano, miangano, mpiangano, voaangano",A
anganongano,anganonganoina,A
angatra,"fiangarana, fiangatra, iangarana, miangatra, mpiangatra",A
angatra,"angarina, manangatra",A
angavy,"fiangavy, fiangaviana, iangaviana, miangavy, mpiangavy, voangavy",A
angazy,angazina,A
angefa,"mampanangefa, mampifanangefa, mifanangefa",A
angely,angelingely,A
angelingely,anangelingelena,A
angelongelona,,A
angentsana,angentsanina,A
angentsana,"anangentsanana, angentsanana, angentsangentsana, fanangentsana, fanangentsanana, fiangentsana, fiangentsanana, iangentsanana, manangentsana, miangentsana, mpanangentsana, mpiangentsana, tafangentsana, voangentsana",A
