,sampateny,lettre
tsikebona,"anatsikebonana, atsikebona, fanatsikebona, fanatsikebonana, fitsikebona, fitsikebonana, itsikebonana, mahatsikebona, manatsikebona, mitsikebona, mpanatsikebona, mpitsikebona, tafatsikebona, tsikebonina, tsikebonkebona, voatsikebona",T
tsikefakefaka,"anatsikefakefahana, atsikefakefaka, fanatsikefakefahana, fanatsikefakefaka, fitsikefakefahana, fitsikefakefaka, itsikefakefahana, mahatsikefakefaka, manatsikefakefaka, mitsikefakefaka, mpanatsikefakefaka, tsikefakefahina, voatsikefakefaka",T
tsikehina,mitsikehina,T
tsikera,"fitsikerana, fitsikerana, mpitsikera",T
tsikera,"anatsikerana, atsikera, fanatsikera, fanatsikera, fanatsikerana, fitsikera, itsikerana, mahatsikera, manatsikera, mitsikera, mpanatsikera, tsikeraina, tsikerakera, voatsikera",T
tsikerakera,mitsikerakera,T
tsiky,"atsiky, fitsiky, fitsikiana, itsikiana, mahatsiky, mitsiky, mpitsiky, tafatsiky, tsikitsiky",T
tsikiakia,itsikiakiavana,T
tsikiakia,"fitsikiakia, fitsikiakianana, fitsikiakiavana, itsikiakianana, mahatsikiakia, mitsikiakia, mpitsikiakia, tafatsikiakia",T
tsikikikiky,mitsikikikiky,T
tsikilo,itsikiloana,T
tsikilo,"atsikilo, fitsikilo, fitsikiloana, mahatsikilo, mampitsikilo, mifampitsikilo, mitsikilo, mpitsikilo, tafatsikilo, tsikiloina, tsikilokilo, tsikilovina, voatsikilo",T
tsikintsikina,"fitsikintsikina, fitsikintsikinana, itsikintsikinana, mahatsikintsikina, mitsikintsikina, mpitsikintsikina, tafatsikintsikina",T
tsikirikiry,mitsikirikiry,T
tsikitsiky,hitsikitsiky,T
tsikofokofoka,"fitsikofokofohana, fitsikofokofoka, itsikofokofohana, mahatsikofokofoka, mitsikofokofoka, mpitsikofokofoka, tafatsikofokofoka",T
tsikoinkoina,"anatsikoinkoinana, fanatsikoinkoina, fanatsikoinkoinana, fitsikoinkoina, fitsikoinkoinana, itsikoinkoinana, mahatsikoinkoina, manatsikoinkoina, mitsikoinkoina, mpanatsikoinkoina, mpitsikoinkoina, tafatsikoinkoina",T
tsikoko,tsikokoina,T
tsikondry,tsikondrikondry,T
tsikondrikondry,mitsikondrikondry,T
tsikozakoza,"anatsikozakozana, fanatsikozakoza, fanatsikozakozana, fitsikozakoza, fitsikozakozana, itsikozakozana, mahatsikozakoza, manatsikozakoza, mitsikozakoza, mpanatsikozakoza, mpitsikozakoza, tafatsikozakoza, tsikozakozaina",T
tsilaiko,mitsilaiko,T
tsilaikolaiko,mitsilaikolaiko,T
tsilailay,"atsilailay, fitsilailay, fitsilailaizana, itsilailaizana, mahatsilailay, mitsilailay, mpitsilailay, tafatsilailay",T
tsilamodamoka,mitsilamodamoka,T
tsilañy,mantsilany,T
tsilany,"anatsilanesana, atsilany, fanatsilanesana, fanatsilany, fitsilanesana, fitsilany, itsilanesana, mahatsilany, manatsilany, mitsilany, mpanatsilany, mpitsilany, tafatsilany, tsilanilany",T
tsilasilasy,"atsilasilasy, mitsilasilasy, tafatsilasilasy",T
tsililalila,"fitsililalila, mitsililalila",T
tsilo,"fanilo, fanilo, fanilo, tsiloina, tsiloina",T
tsilo,"aniloana, atsilo, faniloana, manilo, manilo, mpanilo, tsilotsilo, voatsilo",T
tsilo,"atsilo, fitsilo, fitsilovana, itsilovana, mahatsilo, manilo, matsilo, mitsilo, mpitsilo, tsilovina",T
tsiloliloly,"fitsiloliloly, mitsiloliloly",T
tsilopilopy,mitsilopilopy,T
tsilotidotika,"fitsilotidotika, mitsilotidotika",T
tsilotsilo,"manilotsilo, mitsilotsilo",T
tsimbadika,"anatsimbadihana, atsimbadika, fanatsimbadihana, fanatsimbadika, fitsimbadihana, fitsimbadika, itsimbadihana, mahatsimbadika, manatsimbadika, mitsimbadika, mpanatsimbadika, mpitsimbadika, tafatsimbadika, tsimbadimbadika, voatsimbadika",T
tsimberivery,"fitsimberiverena, fitsimberivery, itsimberiverena, mitsimberivery, mpitsimberivery, tafatsimberivery",T
tsimbina,"atsimbina, fifampitsimbinana, fitsimbina, fitsimbinana, itsimbinana, mahatsimbina, mitsimbina, mpitsimbina, tsimbinina, voatsimbina",T
tsimbohitra,"atsimbohitra, fitsimbohirana, fitsimbohitra, mahatsimbohitra, mitsimbohitra, mpitsimbohitra, tafatsimbohitra, tsimbohimbohitra, voatsimbohitra",T
tsimedameda,mitsimedameda,T
tsimina,mpanamina,T
tsimina,"animinana, atsimina, fanimina, faniminana, mahatsimina, manimina, mpanimina, tsiminina, voatsimina",T
tsimintsimina,"atsimintsimina, fitsimintsimina, fitsimintsiminana, itsimintsiminana, mahatsimintsimina, mitsimintsimina, mpitsimintsimina, tafatsimintsimina",T
tsimoka,"fitsimohana, fitsimoka, itsimohana, mahatsimoka, mitsimoka, tafatsimoka",T
tsimontsimona,"atsimontsimona, fitsimontsimona, fitsimontsimonana, itsimontsimonana, mahatsimontsimona, mitsimontsimona, mpitsimontsimona, tafatsimontsimona",T
tsimozimozy,mitsimozimozy,T
tsimpohafoha,"anatsimpohafohazana, atsimpohafoha, fanatsimpohafoha, fanatsimpohafohazana, fitsimpohafoha, fitsimpohafohazana, itsimpohafohazana, mahatsimpohafoha, manatsimpohafoha, mitsimpohafoha, mpanatsimpohafoha, mpitsimpohafoha, tsimpohafohazina, voatsimpohafoha",T
tsimpona,"atsimpona, fitsimpona, fitsimponana, itsimponana, mahatsimpona, mitsimpona, mpitsimpona, tsimponina, tsimpontsimpona, voatsimpona",T
tsinainaina,"fitsinainaina, mitsinainaina",T
tsinaka,"fitsinaka, mitsinaka, tsinatsinaka",T
tsinanginangy,"fitsinanginangy, fitsinanginangiana, itsinanginanginana, mahatsinanginangy, mitsinanginangy, mpitsinanginangy",T
tsinanika,"fitsinanika, mitsinanika",T
tsinatsinaka,mitsinatsinaka,T
tsindoha,tsindohaina,T
tsindrahadrahaka,mitsindrahadrahaka,T
tsindrantsindrana,"atsindrantsindrana, fitsindrantsindrana, fitsindrantsindranana, itsindrantsindranana, mahatsindrantsindrana, mitsindrantsindrana, tafatsindrantsindrana",T
tsindry,"anindriana, atsindry, fanindry, fanindriana, fitsindry, fitsindriana, itsindriana, mahatsindry, mampanindry, mampantsindry, mampifanindry, mampifantsindry, manindry, mifanindry, mifantsindry, mitsindry, mpanindry, tafatsindry, tsindriana, tsinindry, voatsindry",T
tsindrika,"fanindrika, fitsindrika",T
tsindrika,"anindrihana, atsindrika, fanindrihana, mahatsindrika, manindrika, mpanindrika, tsindrihina, voatsindrika",T
tsindroana,"anatsindroandroanana, fanatsindmandroanana, fanatsindroandroana, fanatsindroandroanana, fitsindroana, fitsindroandroanana, itsindroandroanana, mitsindroana, mitsindroandroana, mpanatsindroandroana, mpitsindroana, tsindroandroana, tsindroanina, voatsindroana",T
tsindroandroana,"fitsindroandroana, mahatsindroandroana, manatsindroandroana",T
tsindroka,"atsindroka, fitsindrohana, fitsindroka, itsindrohana, mahatsindroka, mitsindroka, mitsindrotsindroka, mpitsindroka, tsindrohina, tsindrotsindroka, voatsindroka",T
tsindrona,"anindronana, atsindrona, fanindrona, fanindronana, fitsindrona, fitsindronana, itsindronana, mahatsindrona, mampantsindrona, mampifantsindrona, manindrona, mifantsindrona, mitsindrona, mpanindrona, mpitsindrona, tsindronina, tsindrontsindrona, voatsindrona",T
tsindrontsindrona,fanindrontsindronana,T
tsingadina,"anatsingadinana, atsingadina, fanatsingadina, fanatsingadinana, fitsingadina, fitsingadinana, itsingadinana, mahatsingadina, manatsingadina, mitsingadina, mpanatsingadina, mpitsingadina, tafatsingadina, tsingadingadina, voatsingadina",T
tsingala,tsingalahala,T
tsingalahala,"fitsingalahalana, itsingalahalana, mitsingalahala",T
tsinganga,"anatsingangàna, atsinganga, fanatsinganga, fanatsingangana, fitsinganga, fitsingangana, itsingangàna, mahatsinganga, manatsinganga, maninganga, mitsinganga, mpanatsinganga, tafatsinganga, tsingangaina, tsinganganganga, voatsinganga",T
tsingaoka,tsingaohina,T
tsingatotra,"anatsingatorana, atsingatotra, fanatsingatorana, fanatsingatotra, fitsingatorana, fitsingatotra, itsingatorana, mahatsingatotra, manatsingatotra, mitsingatotra, mpanatsingatotra, mpitsingatotra, tafatsingatotra, tsingatongatotra",T
tsingedana,"anatsingedanana, atsingedana, fanatsingedana, fanatsingedanana, fitsingedana, fitsingedanana, itsingedanana, mahatsingedana, manatsingedana, mitsingedana, mpanatsingedana, mpitsingedana, tafatsingedana, tsingedangedana, voatsingedana",T
tsingentana,tsingentangentana,T
tsingerina,"anatsingerenana, fanatsingerenana, fanatsingerina, fitsingerenana, fitsingerina, itsingerenana, mahatsingerina, manatsingerina, mitsingerina, mpanatsingerina, mpitsingerina, tafatsingerina, voatsingerina",T
tsingevina,"anatsingevenana, atsingevina, fanatsingevenana, fanatsingevina, fitsingevenana, fitsingevina, itsingevenana, mahatsingevina, manatsingevina, mitsingevina, mpanatsingevina, mpitsingevina, tsingevingevina, voatsingevina",T
tsingevotra,mitsingevotra,T
tsingy,mitsingy,T
tsingidina,mitsingidina,T
tsingilahila,"anatsingilahilana, atsingilahila, fanatsingilahila, fanatsingilahilana, fitsingilahila, fitsingilahilana, itsingilahilàna, mahatsingilahila, manatsingilahila, mitsingilahila, mpanatsingilahila, mpitsingilahila, tafatsingilahila, voatsingilahila",T
tsingina,"atsingina, faningina, fitsingina, mahatsingina, mitsingina, mpitsingina, voatsingina, voatsingina",T
tsingina,"aninginana, faninginana, maningina, tsinginana",T
tsingina,"fitsinginana, itsinginana, tsinginina, tsingintsingina",T
tsingintsingina,mitsingintsingina,T
tsingoana,"anatsingoanana, atsingoana, fanatsingoana, fanatsingoanana, fitsingoana, fitsingoanana, itsingoanana, mahatsingoana, manatsingoana, mitsingoana, mpanatsingoana, mpitsingoana, tafatsingoana, tsingoangoana, voatsingoana",T
tsingoloka,"anatsingolohana, atsingoloka, fanatsingolohana, fanatsingoloka, fitsingolohana, fitsingoloka, itsingolohana, mahatsingoloka, manatsingoloka, maningoloka, mitsingoloka, mpanatsingoloka, mpitsingoloka, tafatsingoloka, tsingolongoloka, voatsingoloka",T
tsingozahoza,"fitsingozahoza, fitsingozahozana, itsingozahozana, mahatsingozahoza, mitsingozahoza, mpitsingozahoza",T
tsiny,"aniniana, faniny, faniniana, mampantsiny, maniny, maniny, mifantsiny, mpaniny, tsinina, tsinina, voatsiny",T
tsiny,mahatsiny,T
tsininganingana,"fitsininganingana, fitsininganinganana, itsininganinganana, mahatsininganingana, mitsininganingana, mpitsininganingana, tafatsininganingana",T
tsinjaka,"atsinjaka, fitsinjahana, fitsinjaka, itsinjahana, mahatsinjaka, mitsinjaka, mpitsinjaka, tafatsinjaka, tsinjahina, tsinjatsinjaka",T
tsinjara,"anatsinjarana, atsinjara, fanatsinjara, fanatsinjarana, faninjara, fitsinjara, fitsinjarana, itsinjarana, mahatsinjara, manatsinjara, maninjara, mitsinjara, mpanatsinjara, mpitsinjara, tsinjaraina, voatsinjara",T
tsinjarazara,fitsinjarazarana,T
tsinjo,"ahatsinjovana, atsinjo, fitsinjo, fitsinjo, fitsinjovana, itsinjovana, mahatsinjo, mitsinjo, mpitsinjo, tsininjo, tsinjotsinjo, tsinjovina, voatsinjo",T
tsinkafona,"anatsinkafonana, atsinkafona, fanatsinkafona, fanatsinkafonana, fitsinkafona, fitsinkafonana, mahatsinkafona, manatsinkafona, mitsinkafona, mpanatsinkafona, tafatsinkafona, voatsinkafona",T
tsinkasina,"anatsinkasinana, atsinkasina, fanatsinkasina, fanatsinkasinana, fitsinkasina, fitsinkasinana, itsinkasinana, mahatsinkasina, manatsinkasina, mitsinkasina, mpanatsinkasina, mpitsinkasina, tafatsinkasina, tsinkasinkasina, voatsinkasina",T
tsinona,tsinontsinona,T
tsintsina,fitsintsina,T
tsintsina,"fitsintsinana, itsintsinana, mahatsintsina, mitsintsina, mpitsintsina, tsintsinina, voatsintsina",T
tsintsindrana,"anatsintsindranana, atsintsindrana, fanatsintsindrana, fanatsintsindranana, fitsintsindrana, fitsintsindranana, mahatsintsindrana, manatsintsindrana, mitsintsindrana, mpanatsintsindrana, tafatsintsindrana, tsintsindrantsindrana",T
tsioka,"antsioka, fitsiofana, fitsioka, fitsioka, mitsioka, mpitsioka, tsiofina, voatsioka",T
tsiotsioka,"itsiotsiohana, maniotsioka",T
tsipaikona,"fitsipaikona, mitsipaikona, tsipaikompaikona",T
tsipaka,"anipahana, fanipahana, fanipaka, fitsipahana, fitsipaka, itsipahana, mahatsipaka, manipaka, mifanipaka, mitsipaka, mpanipaka, mpitsipaka, tsinipaka, tsipahina, tsipatsipaka, voatsipaka",T
tsipaloka,"atsipaloka, fanatsipaloka, fitsipaloka, mahatsipaloka, manatsipaloka, mitsipaloka, voatsipaloka",T
tsipalotra,"atsipalotra, fanatsipalotra, fitsipalotra, mahatsipalotra, manatsipalotra, mitsipalotra, voatsipalotra",T
tsipatsipaka,mitsipatsipaka,T
tsipelaka,"fitsipelaka, mitsipelaka",T
tsipelika,"atsipelika, manatsipelika, mitsipelika, tafatsipelika, tsipelehina, voatsipelika",T
tsipeloka,"anatsipelohana, atsipeloka, fanatsipelohana, fanatsipeloka, fitsipelohana, fitsipeloka, itsipelohana, mahatsipeloka, manatsipeloka, mitsipeloka, mpanatsipeloka, voatsipeloka",T
tsipy,manipy,T
tsipy,"anipazana, atsipy, fanipazana, fanipy, ifanipazana, mahatsipy, manipy, mitsipy, mpanipy, tafatsipy, tsipazana, tsipitsipy, voatsipy",T
tsipika,"fanipika, fitsipika, itsipihana, mahatsipika, mampantsipika, manipika, mifantsipika, mpitsipika, tsipitsipika",T
tsipika,"fitsipihana, tsipihina, voatsipika",T
tsipika,"mitsipika, tafatsipika",T
tsipilaka,mitsipilaka,T
tsipindy,"anatsipindiana, atsipindy, fanatsipindy, fanatsipindiana, manatsipindy, mpanatsipindy, tsipindina, voatsipindy",T
tsipitsipy,manipitsipy,T
tsipitsipy,atsipitsipy,T
tsiporetika,mitsiporetika,T
tsipotipotika,mitsipotipotika,T
tsipotitra,miantsipôtitry,T
tsipozipozy,mitsipozipozy,T
tsiraidraika,mitsiraidraika,T
tsiraka,fitsiratsiraka,T
tsiraka,"fitsiraka, mitsiraka, tsiratsiraka",T
tsiraka,antsiraka,T
tsirakaraka,"anatsirakarakàna, atsirakaraka, fanatsirakaraka, fanatsirakarakana, fitsirakaraka, fitsirakarakana, mahatsirakaraka, manatsirakaraka, mitsirakaraka, mpanatsirakaraka, tafatsirakaraka, tsirakarakaina, voatsirakaraka",T
tsirakorako,"atsirakorako, manatsirakorako, mitsirakorako",T
tsirakorako,"fanatsirakorako, fanatsirakorakoana, fitsirakorako, fitsirakorakoana",T
tsirambina,"fitsirambina, mitsirambina, mpitsirambina, tsirambindrambina",T
tsirangaranga,mitsirangaranga,T
tsiranorano,"fitsiranorano, mitsiranorano",T
tsirara,"anatsirarana, atsirara, fanatsirara, fanatsirarana, fitsirara, fitsirarana, itsirarana, mahatsirara, manatsirara, mitsirara, mpanatsirara, tafatsirara, tsirararara, voatsirara",T
tsiratsira,"aniratsirana, faniratsira, faniratsirana, maniratsira, mpaniratsira, tsiratsiraina, voatsiratsira",T
tsiratsiraka,mitsiratsiraka,T
tsiravina,"fahatsiravina, mahatsiravina",T
tsiredareda,"anatsiredaredana, atsiredareda, fanatsiredareda, fanatsiredaredana, fitsiredareda, fitsiredaredana, itsiredaredana, mahatsiredareda, manatsiredareda, mitsiredareda, mpanatsiredareda, mpitsiredareda, tafatsiredareda, voatsiredareda",T
tsirendrena,"fitsirendrena, mitsirendrena, mpitsirendrena",T
tsirendrirendry,"fitsirendrirendry, mitsirendrirendry",T
tsirenireny,"fitsirenirenena, fitsirenireny, itsirenirenena, mitsirenireny, mpitsirenireny",T
tsiretadretaka,"fitsiretadretahana, fitsiretadretaka, itsiretadretahana, mitsiretadretaka, mpitsiretadretaka",T
tsiretareta,mitsiretareta,T
tsiry,kaniry,T
tsiry,"aniriana, faniry, faniriana, fitsiry, fitsiriana, itsiriana, maniry, mitsiry, mpaniry, mpitsiry",T
tsirika,"fitsirika, fitsirika",T
tsirika,"fitsirihana, itsirihana, mahatsirika, mampitsirika, mifampitsirika, mitsirika, mpitsirika, tsinirika, tsirihina, tsiritsirika, voatsirika",T
tsirirìka,"atsiririka, fitsiririhana, fitsiririka, itsiririhana, mitsiririka, mpitsiririka, tafatsiririka",T
tsiriritra,"fitsiriritana, fitsiriritra, itsiriritana, mahatsiriritra, mampitsiriritra, mitsiriritra, mpitsiriritra, tafatsiriritra, tsiriritina, voatsiriritra",T
tsiro,fitsiroana,T
tsiro,"manatsiro, matsiro",T
tsitaitaika,"anatsitaitaihana, atsitaitaika, fanatsitaitaihana, fanatsitaitaika, fitsitaitaihana, fitsitaitaika, itsitaitaihana, mahatsitaitaika, manatsitaitaika, mitsitaitaika, mpanatsitaitaika, mpitsitaitaika, tafatsitaitaika",T
tsitapitapy,mitsitapitapy,T
tsitika,"mitsitika, mitsitika",T
tsitika,"atsitika, fitsitihana, fitsitika, itsitihana, mahatsitika, mpitsitika, tafatsitika, tsititsitika",T
tsitokantokana,"itsitokantokanana, mitsitokantokana",T
tsitokotoko,"fitsitokotokoana, mitsitokotoko",T
tsitongatonga,mitsitongatonga,T
tsitra,fanatsitra,T
tsitra,"anatsirana, atsitra, fanatsirana, fitsirana, fitsitra, itsirana, mahatsitra, manatsitra, mitsitra, mpanatsitra, mpitsitra, tafatsitra, tsitsitra, voatsitra",T
tsitsy,"fitsitsy, matsitsy",T
tsitsy,"atsitsy, fitsitsiana, itsitsiana, mahatsitsy, mitsitsy, mpitsitsy, tsitsina, voatsitsy",T
tsitsika,fitsitsika,T
tsitsika,"atsitsika, fitsitsihana, itsitsihana, mitsitsika, mpitsitsika, tsitsihina, voatsitsika",T
tsivaka,tsivatsivaka,T
tsivalana,"anatsivalanana, atsivalana, fanatsivalana, fanatsivalanana, fitsivalana, fitsivalanana, itsivalanana, mahatsivalana, manatsivalana, mitsivalana, mpanatsivalana, mpitsivalana, tafatsivalana, tsivalambalana, tsivalanana, voatsivalana",T
tsivatsivaka,mitsivatsivaka,T
tsivelatra,mitsivelatra,T
tsivetraka,"anatsivetrahana, atsivetraka, fanatsivetrahana, fanatsivetraka, fitsivetrahana, fitsivetraka, itsivetrahana, mahatsivetraka, manatsivetraka, mitsivetraka, mpanatsivetraka, mpitsivetraka, tafatsivetraka, tsivetrabetraka, voatsivetraka",T
tsivoka,mitsivoka,T
tsizarizary,"anatsizarizariana, fanatsizarizary, fanatsizarizariana, mahatsizarizary, manatsizarizary, mpanatsizarizary",T
tsoaka,"anatsoahana, fampitsoahana, fampitsoaka, fanatsoaka, fitsoahana, fitsoaka, itsoahana, mahatsoaka, manatsoaka, mitsoaka, mitsoaka, mpanatsoaka, mpitsoaka, tafatsoaka, tsoahana, tsoatsoaka",T
tsobatsoba,"fitsobatsoba, mahatsobatsoba, mitsobatsoba",T
tsoboka,manoboka,T
tsoboka,"anatsobohana, atsoboka, fanatsobohana, fanatsoboka, fitsobohana, fitsoboka, itsobohana, mahatsoboka, manatsoboka, mitsoboka, mpanatsoboka, mpitsoboka, tafatsoboka, tsobohana, tsobohina, tsobotsoboka, voatsoboka",T
tsofa,"anatsofana, atsofa, fanatsofa, fanatsofana, fitsofa, mahatsofa, manatsofa, mitsofa, mitsofatsofa, mpanatsofa, mpitsofa, tsofana, tsofatsofa, voatsofa",T
tsofoka,"anatsofohana, atsofoka, fanatsofohana, fanatsofoka, fitsofohana, fitsofoka, itsofohana, mahatsofoka, manatsofoka, mitsofoka, mpanatsofoka, mpitsofoka, tafatsofoka, tsofohana, tsofotsofoka, voatsofoka",T
tsofotra,"anatsoforana, atsofotra, fanatsoforana, fanatsofotra, fitsoforana, fitsofotra, mahatsofotra, manatsofotra, mitsofotra, mpanatsofotra, tsoforana, tsofotsofotra, voatsofotra",T
tsoitsoy,mampitsoitsoy,T
tsoitsoy,"fitsoitsoy, mitsoitsoy",T
tsojay,antsojay,T
tsoka,fitsàfana,T
tsoka,"atsoka, fitsofana, fitsoka, hitsoka, itsofana, mahatsoka, mitsoka, mpitsoka, tsofina, tsotsoka, voatsoka",T
tsoky,mitsoky,T
tsoky,tsokitsoky,T
tsolo,"fanatsolotsolo, fanolotsolo, manolotsolo, mitsolo, mpanolotsolo, tsolotsolo",T
tsolo,"atsolo, tsoloana, voatsolo",T
tsolotra,"fanolotsolorana, fanolotsolotra",T
tsolotra,tsolotsolotra,T
tsolotsolo,"fitsolotsolo, fitsolotsolo, mitsolotsolo, mitsolotsolo",T
tsolotsolo,"anatsolotsoloana, anolotsoloana, atsolotsolo, fanatsolotsoloana, fitsolotsoloana, itsolotsoloana, itsolotsolofana, mpanatsolotsolo, mpitsolotsolo",T
tsolotsolotra,fanatsolotsolotra,T
tsolotsolotra,"anolotsolorana, atsolotsolotra, fitsolotsolotra, mahatsolotsolotra, manatsolotsolotra, manolotsolotra, mitsolotsolotra, mpanolotsolotra, mpitsolotsolotra",T
tsonga,"fitsonga, fitsongana, itsongana, mahatsonga, mitsonga, tsongaina, voatsonga",T
tsongo,intsongoana,T
tsongo,"anongoana, antsongony, atsongo, fanongo, fanongoana, fitsongo, fitsongoana, itsongoana, mahatsongo, manongo, mitsongo, mpanongo, mpitsongo, tsinongo, tsongoina, tsongotsongo, voatsongo",T
tsongotsongo,anongotsongoana,T
tsongotsongo,"manongotsongo, tsongotsongoina",T
tsonika,"fitaonika, fitsonika, mitsonika",T
tsontsa,antsontsany,T
tsontsa,fahatsontsana,T
tsontsona,"atsontsona, fitsontsona, fitsontsonana, itsontsonana, mahatsontsona, mitsontsona, mpitsontsona, tsinontsona, tsontsonina, voatsontsona",T
tsontsorika,"anatsontsorihana, atsontsorika, fanatsontsorifana, fanatsontsorihana, fanatsontsorika, fitsontsorihana, fitsontsorika, itsontsorihana, mahatsontsorika, manataontsorika, manatsontsorika, mitsontsorika, mpanatsontsorika, mpitsontsorika, tafatsontsorika, tsontsorifana, tsontsorihana, voatsontsorika",T
tsontsoroka,tsontsorofina,T
tsopaka,"mitsopaka, tsoropaka",T
tsopiaka,"atsopiaka, fitsopiahana, fitsopiaka, itsopiahana, mahatsopiaka, mitsopiaka, mpitsopiaka, tafatsopiaka, tsopiapiaka",T
tsopitsopy,"atsopitsopy, fitsopitsopy, fitsopitsopiana, itsopitsopiana, mahatsopitsopy, mitsopitsopy, mpitsopitsopy, tafatsopitsopy",T
tsora,matsora,T
tsoraka,matsoraka,T
tsoriaka,"anatsoriahana, atsoriaka, fanatsoriahana, fanatsoriaka, fitsoriahana, fitsoriaka, itsoriahana, mahatsoriaka, manatsoriaka, mitsoriaka, mpanatsoriaka, mpitsoriaka, tafatsoriaka, tsoriadriaka, voatsoriaka",T
tsorika,"anorihana, fanorihana, fanorika, manorika, mitsorika",T
tsoroaka,"fitsoroahana, fitsoroaka, mitsoroaka, mpitsoroaka",T
tsorofoka,"anatsorofohana, atsorofoka, fanatsorofohana, fanatsorofoka, fitsorofohana, fitsorofoka, itsorofohana, mahatsorofoka, manatsorofoka, mitsorofoka, mpanatsorofoka, mpitsorofoka, tafatsorofoka, tsorofodrofoka, voatsorofoka",T
tsoromala,mitsoromala,T
tsoropoka,mpanatsoropoka,T
tsoropoka,"anatsoropohana, fanatsoropohana, fitsoropohana, itsoropohana",T
tsororika,"fitsororihana, fitsororika, itsororihana, mitsororika, tsororidrorika",T
tsororoka,fitsororohana,T
tsororòka,"anatsororohana, atsoror&ograve;ka, fanatsororohana, fanatsororoka, fitsoror&ograve;ka, itsororohana, mahatsoror&ograve;ka, manatsoror&ograve;ka, mitsoror&ograve;ka, mpanatsoror&ograve;ka, tafatsororòka",T
tsotaka,tsotatsotaka,T
tsotaka,"anatsotahana, atsotaka, fanatsotahana, fanatsotaka, fitsotahana, fitsotaka, itsotahana, mahatsotaka, manatsotaka, mitsotaka, mpanatsotaka, tafatsotaka, tsotahana, voatsotaka",T
tsotra,fahatsorana,T
tsotra,"anatsorana, atsotra, fanatsorana, fanatsotra, fitsorana, fitsotra, itsorana, mahatsotra, manatsotra, mitsotra, mpanatsotra, mpitsotra, tafatsotra, tsorina, tsotsotra, voatsotra",T
tsotsoka,"fitsotsoka, fitsotsoka",T
tsotsotra,mitsotsotra,T
tsotsotsotso,"anatsotsotsotsoana, atsotsotsotso, fanatsotsotsotso, fanatsotsotsotsoana, fitsotsotsotso, fitsotsotsotsoana, itsotsotsotsoana, manatsotsotsotso, mitsotsotsotso, mpanatsotsotsotso, tafatsotsotsotso, voatsotsotsotso",T
tsovaka,"anatsovahana, atsovaka, fanatsovahana, fanatsovaka, fitsovahana, fitsovaka, itsovahana, mahatsovaka, manatsovaka, mitsovaka, mpanatsovaka, tsovahana, tsovatsovaka, voatsovaka",T
vady,"anambadiana, fampivadiana, fanambady, fanambadiana, fifanambadiana, fivady, fivadiana, ivadiana, mambady, mampivady, manambady, mifanambady, mivady, mpanambady, mpivady, vadina, vinady",V
vady,"avady, mamady, mivady, vadiana, voavady",V
vadibadika,"avadibadika, mamadibadika, mivadibadika",V
vadiditra,"avadiditra, famadidirana, famadiditra, fivadidirana, fivadiditra, ivadidirana, mahavadiditra, mivadiditra, mpamadiditra, tafavadiditra, vadidirana, vadidirina, voavadiditra",V
vadika,"amadihana, ampifamadihana, avadika, famadihana, famadika, fifamadika, fivadihana, fivadika, ivadihana, mahavadika, mamadika, mamadika, mampifamadika, mampivadika, mivadika, mpamadika, mpifamadika, mpivadika, tafavadika, tsimbadika, vadibadika, voavadika",V
vadiky,"mamadiky, mivadiky",V
vaha,famahana,V
vaha,famahana,V
vaha,"avaha, famaha, fivaha, fivahana, ivahana, mahavaha, mamaha, mivaha, mpamaha, vahana, vahavaha, vinaha, voavaha",V
vahatra,mamahatra,V
vahatra,mamahatra,V
vahavaha,"famahavahana, mamahavaha, mivahavaha",V
vahiny,ivahinianana,V
vahiny,"fivahiny, fivahiniana, ivahiniana, mivahiny, mpivahiny",V
vahoaka,"amahoahana, famahoahana, famahoaka, mamahoaka, mpamahoaka",V
vahotra,"amahorana, famahorana, famahotra, fivahorana, fivahotra, havahotra, ivahorana, mahavahotra, mamahotra, mivahotra, mpamahotra, mpivahotra, vahobahotra, vahorana, vahorina, voavahotra",V
vahotsy,"mamahotsy, mivahotsy",V
vahovaho,"fivahovaho, fivahovahoana, ivahovahoana, mahavahovaho, mivahovaho, mpivahovaho",V
vay,mivay,V
vaika,mpamaika,V
vaika,"amaikana, avaika, famaika, famaikana, fivaika, fivaikàna, ivaikana, mahavaika, mamaika, mivaika, mpavaika, vaikaina, voavaika",V
vaikavaika,"fivaikavaika, fivaikavaikana, ivaikavaikana, mitsivaikavaika, mivaikavaika, mpivaikavaika",V
vailanina,mivailanina,V
vainga,"avainga, fivainga, vaingaina, vaingana, vaingavainga, voavainga",V
vaingana,"fivaingana, mivaingana",V
vaingavainga,"amaingavaingana, famaingavainga, famaingavaingana, fivaingavainga, fivaingavaingana, ivaingavaingana, mamaingavainga, mivaingavainga, mpamaingavainga",V
vaitra,"ambaitra, fivaitra, mahavaitra, mivaitra, mpivaitra, vaibaitra",V
vaivay,"fivaivay, mamaivay, mavaivay, mivaivay",V
vaka,vakavaka,V
vaka,mavaka,V
vakana,"fivakana, fivakanana, ivakanana, mahavakana, mivakana, mpivakana, vakanana, voavakana",V
vakavaka,"fivakavaka, fivakavakana, ivakavakana, mahavakavaka, manavakavaka, mivakavaka, mpanavakavaka, mpivakavaka, vakavakaina",V
vaky,fivaky,V
